name,url
flag-mo,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f4.png
flag-mp,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f5.png
flag-mq,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f6.png
flag-mr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f7.png
flag-ms,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f8.png
flag-mt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f9.png
flag-mu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1fa.png
flag-mv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1fb.png
flag-mw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1fc.png
flag-mx,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1fd.png
flag-my,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1fe.png
flag-mz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1ff.png
flag-na,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1e6.png
flag-nc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1e8.png
flag-ne,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1ea.png
flag-nf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1eb.png
flag-ng,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1ec.png
flag-ni,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1ee.png
flag-nl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1f1.png
flag-no,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1f4.png
flag-np,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1f5.png
flag-nr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1f7.png
flag-nu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1fa.png
flag-nz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f3-1f1ff.png
flag-om,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f4-1f1f2.png
flag-pa,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1e6.png
flag-pe,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1ea.png
flag-pf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f5-1f1eb.png
